"","ID","Position","EAP","SE"
"776",97,8,-1.573,0.544
"777",98,1,-0.544,0.726
"778",98,2,-0.845,0.648
"779",98,3,-1.109,0.606
"780",98,4,-1.254,0.575
"781",98,5,-1.359,0.557
"782",98,6,-1.434,0.547
"783",98,7,-1.473,0.538
"784",98,8,-1.573,0.544
"785",99,1,-0.544,0.726
"786",99,2,-0.845,0.648
"787",99,3,-1.109,0.606
"788",99,4,-0.625,0.387
"789",99,5,-0.719,0.368
"790",99,6,-0.554,0.299
"791",99,7,-0.616,0.288
"792",99,8,-0.675,0.282
"793",100,1,0.6,0.417
"794",100,2,0.713,0.299
"795",100,3,0.764,0.251
"796",100,4,0.785,0.22
"797",100,5,0.719,0.206
"798",100,6,0.709,0.19
"799",100,7,0.763,0.178
"800",100,8,0.772,0.167
"801",101,1,-0.544,0.726
"802",101,2,-0.845,0.648
"803",101,3,-1.109,0.606
"804",101,4,-0.625,0.387
"805",101,5,-0.719,0.368
"806",101,6,-0.554,0.299
"807",101,7,-0.616,0.288
"808",101,8,-0.675,0.282
"809",102,1,-0.544,0.726
"810",102,2,-0.002,0.391
"811",102,3,0.088,0.303
"812",102,4,0.125,0.26
"813",102,5,0.07,0.244
"814",102,6,0.011,0.234
"815",102,7,0.008,0.217
"816",102,8,-0.002,0.203
"817",103,1,-0.544,0.726
"818",103,2,-0.845,0.648
"819",103,3,-1.109,0.606
"820",103,4,-1.254,0.575
"821",103,5,-1.359,0.557
"822",103,6,-1.434,0.547
"823",103,7,-1.473,0.538
"824",103,8,-1.573,0.544
"825",104,1,-0.544,0.726
"826",104,2,-0.845,0.648
"827",104,3,-1.109,0.606
"828",104,4,-1.254,0.575
"829",104,5,-1.359,0.557
"830",104,6,-1.434,0.547
"831",104,7,-1.473,0.538
"832",104,8,-1.573,0.544
"833",105,1,0.6,0.417
"834",105,2,0.713,0.299
"835",105,3,0.764,0.251
"836",105,4,0.785,0.22
"837",105,5,0.719,0.206
"838",105,6,0.709,0.19
"839",105,7,0.763,0.178
"840",105,8,0.772,0.167
"841",106,1,-0.544,0.726
"842",106,2,-0.002,0.391
"843",106,3,0.088,0.303
"844",106,4,0.125,0.26
"845",106,5,0.07,0.244
"846",106,6,0.011,0.234
"847",106,7,0.116,0.214
"848",106,8,0.188,0.198
"849",107,1,-0.544,0.726
"850",107,2,-0.845,0.648
"851",107,3,-1.109,0.606
"852",107,4,-1.254,0.575
"853",107,5,-1.359,0.557
"854",107,6,-1.434,0.547
"855",107,7,-1.473,0.538
"856",107,8,-1.573,0.544
"857",108,1,-0.544,0.726
"858",108,2,-0.845,0.648
"859",108,3,-1.109,0.606
"860",108,4,-1.254,0.575
"861",108,5,-1.359,0.557
"862",108,6,-1.434,0.547
"863",108,7,-1.473,0.538
"864",108,8,-1.573,0.544
"865",109,1,-0.544,0.726
"866",109,2,-0.845,0.648
"867",109,3,-1.109,0.606
"868",109,4,-1.254,0.575
"869",109,5,-1.359,0.557
"870",109,6,-1.434,0.547
"871",109,7,-1.473,0.538
"872",109,8,-1.573,0.544
"873",110,1,0.6,0.417
"874",110,2,0.713,0.299
"875",110,3,0.764,0.251
"876",110,4,0.643,0.233
"877",110,5,0.644,0.21
"878",110,6,0.595,0.194
"879",110,7,0.552,0.183
"880",110,8,0.518,0.173
"881",111,1,-0.544,0.726
"882",111,2,-0.002,0.391
"883",111,3,0.088,0.303
"884",111,4,0.125,0.26
"885",111,5,0.07,0.244
"886",111,6,0.011,0.234
"887",111,7,0.008,0.217
"888",111,8,-0.002,0.203
"889",112,1,-0.544,0.726
"890",112,2,-0.845,0.648
"891",112,3,-1.109,0.606
"892",112,4,-1.254,0.575
